OrderID,OrderDate,CustomerID,ProductID,Region,Quantity,UnitPrice,Discount,GrossSales,DiscountAmount,SalesAmount,Cost,Profit
O00001,2024-09-22,C0080,P002,North,5.0,65000,0.1,325000,32500.0,292500.0,220527.82,71972.18
O00002,2025-08-27,C0045,P015,West,1.0,500,0.0,500,0.0,500.0,396.17,103.83
O00003,2024-01-08,C0099,P003,East,2.0,42000,0.05,84000,4200.0,79800.0,47199.84,32600.16
O00004,2025-10-17,C0007,P007,South,2.0,9000,0.0,18000,0.0,18000.0,11553.08,6446.92
O00005,2025-01-31,C0018,P004,South,1.0,22000,0.0,22000,0.0,22000.0,14187.01,7812.99
O00006,2024-04-12,C0097,P013,East,1.0,10500,0.1,10500,1050.0,9450.0,6739.26,2710.74
O00007,2024-08-08,C0029,P006,West,1.0,3200,0.1,3200,320.0,2880.0,2181.36,698.64
O00008,2025-02-09,C0032,P012,West,3.0,14500,0.1,43500,4350.0,39150.0,33210.33,5939.67
O00009,2024-08-18,C0080,P002,South,1.0,65000,0.0,65000,0.0,65000.0,41328.84,23671.16
O00010,2024-03-20,C0019,P007,West,1.0,9000,0.05,9000,450.0,8550.0,6759.09,1790.91
O00011,2025-05-01,C0052,P014,,1.0,700,0.02,700,14.0,686.0,412.68,273.32
O00012,2025-05-06,C0029,P014,South,4.0,700,0.15,2800,420.0,2380.0,1963.91,416.09
O00013,2024-03-27,C0020,P004,West,4.0,22000,0.05,88000,4400.0,83600.0,57312.09,26287.91
O00014,2024-07-24,C0097,P006,South,5.0,3200,0.1,16000,1600.0,14400.0,11129.39,3270.61
O00015,2024-06-27,C0020,P007,South,1.0,9000,0.0,9000,0.0,9000.0,5211.83,3788.17
O00016,2025-04-27,C0010,P009,North,2.0,1800,0.05,3600,180.0,3420.0,2906.77,513.23
O00017,2025-06-17,C0068,P009,South,3.0,1800,0.1,5400,540.0,4860.0,4291.26,568.74
O00018,2025-06-15,C0087,P002,South,4.0,65000,0.02,260000,5200.0,254800.0,201013.02,53786.98
O00019,2025-11-17,C0013,P012,East,1.0,14500,0.05,14500,725.0,13775.0,11470.24,2304.76
O00020,2025-07-15,C0071,P004,South,2.0,22000,0.05,44000,2200.0,41800.0,25942.65,15857.35
O00021,2024-08-22,C0055,P005,North,,4500,0.15,13500,2025.0,11475.0,9261.07,2213.93
O00022,2024-03-19,C0084,P013,West,1.0,10500,0.0,10500,0.0,10500.0,6676.27,3823.73
O00023,2025-03-25,C0013,P011,South,2.0,2200,0.1,4400,440.0,3960.0,3474.21,485.79
O00024,2025-10-31,C0098,P006,West,4.0,3200,0.02,12800,256.0,12544.0,7694.7,4849.3
O00025,2025-12-13,C0062,P014,North,3.0,700,0.05,2100,105.0,1995.0,1279.71,715.29
O00026,2024-06-17,C0085,P006,East,3.0,3200,0.05,9600,480.0,9120.0,7059.96,2060.04
O00027,2024-06-21,C0037,P009,South,3.0,1800,0.02,5400,108.0,5292.0,3099.62,2192.38
O00028,2024-01-28,C0095,P004,West,5.0,22000,0.15,110000,16500.0,93500.0,82251.31,11248.69
O00029,2024-04-13,C0063,P003,North,3.0,42000,0.1,126000,12600.0,113400.0,78421.69,34978.31
O00030,2025-02-09,C0013,P008,West,3.0,12000,0.15,36000,5400.0,30600.0,26224.29,4375.71
O00031,2025-02-03,C0093,P008,South,5.0,1800,0.15,9000,1350.0,7650.0,7071.48,578.52
O00032,2024-09-28,C0080,P013,East,1.0,10500,0.05,10500,525.0,9975.0,7503.25,2471.75
O00033,2024-08-14,C0031,P006,South,1.0,3200,0.05,3200,160.0,3040.0,1943.76,1096.24
O00034,2025-08-29,C0055,P014,North,3.0,700,0.1,2100,210.0,1890.0,1182.88,707.12
O00035,2024-12-02,C0039,P010,South,2.0,1200,0.0,2400,0.0,2400.0,1348.91,1051.09
O00036,2025-08-13,C0055,P002,North,2.0,65000,0.1,130000,13000.0,117000.0,74617.3,42382.7
O00037,2025-12-05,C0097,P012,South,1.0,14500,0.05,14500,725.0,13775.0,10244.99,3530.01
O00038,2024-08-19,C0090,P009,East,5.0,1800,0.05,9000,450.0,8550.0,5796.17,2753.83
O00039,2024-05-28,C0022,P006,South,4.0,3200,0.02,12800,256.0,12544.0,7880.18,4663.82
O00040,2025-11-27,C0098,P008,North,4.0,12000,0.02,48000,960.0,47040.0,29242.21,17797.79
O00041,2025-04-09,C0044,P005,North,1.0,4500,0.0,4500,0.0,4500.0,3627.53,872.47
O00042,2024-07-31,C0071,P010,North,2.0,1200,0.02,2400,48.0,2352.0,1396.99,955.01
O00043,2025-03-30,C0077,P009,North,4.0,1800,0.02,7200,144.0,7056.0,4552.56,2503.44
O00044,2025-01-11,C0049,P007,East,3.0,9000,0.0,27000,0.0,27000.0,18287.07,8712.93
O00045,2025-10-23,C0046,P005,North,4.0,4500,0.0,18000,0.0,18000.0,9902.18,8097.82
O00046,2024-07-06,C0046,P006,West,4.0,3200,0.05,12800,640.0,12160.0,10222.81,1937.19
O00047,2025-12-25,C0087,P008,North,3.0,12000,0.02,36000,720.0,35280.0,20763.24,14516.76
O00048,2025-11-15,C0039,P008,North,4.0,12000,0.1,48000,4800.0,43200.0,35244.82,7955.18
O00049,2024-05-12,C0028,P005,West,2.0,4500,0.0,9000,0.0,9000.0,6478.14,2521.86
O00050,2024-04-30,C0037,P009,North,1.0,1800,0.05,1800,90.0,1710.0,1383.21,326.79
O00051,2025-01-24,C0020,P004,South,5.0,22000,0.0,110000,0.0,110000.0,79846.22,30153.78
O00052,2024-02-02,C0040,P008,West,1.0,12000,0.05,12000,600.0,11400.0,9092.82,2307.18
O00053,2024-08-06,C0012,P002,West,2.0,65000,0.05,130000,6500.0,123500.0,86285.83,37214.17
